city_index,city_country,city_name,city_lat,city_lon,population_2025_1000s,gauge_id,gauge_name,gauge_lat,gauge_lon,distance_km,rsl_low_2100,rsl_central_2100,rsl_high_2100,novlm_low_2100,novlm_central_2100,novlm_high_2100
910,India,Rohtak,28.900000000000002,76.5666667,522.082,420,BHAUNAGAR_I,21.8,72.3,899,,,,,,
911,India,Roorkee,29.866667,77.883333,415.859,420,BHAUNAGAR_I,21.8,72.3,1058,,,,,,
912,India,Sagar,23.840472,78.738458,481.894,420,BHAUNAGAR_I,21.8,72.3,698,,,,,,
913,India,Saharanpur,29.96667,77.55,1242.489,420,BHAUNAGAR_I,21.8,72.3,1050,,,,,,
914,India,Salem,11.65,78.16667,1220.706,438,COCHIN,9.97,76.27,279,,,,,,
915,India,Sangli,16.85438,74.56417,635.803,1249,MORMUGAO,15.42,73.8,179,,,,,,
916,India,Santipur,23.24722,88.43302,412.323,1002,TRIBENI,22.98,88.4,30,1.6398823529411763,2.0105,3.4330294117647053,0.1721764705882353,0.5025000000000001,1.9246176470588234
917,India,Satna,24.58333,80.83333,381.322,1161,PARADIP,20.27,86.7,771,,,,,,
918,India,Shahjahanpur,27.88333,79.91667,400.731,1002,TRIBENI,22.98,88.4,1012,,,,,,
919,India,Shillong,25.56892,91.88313,520.14,1496,CHARCHANGA,22.22,91.05,382,,,,,,
920,India,Shimoga,13.93157,75.56791,410.755,1423,MANGALORE,12.92,74.8,140,,,,,,
921,India,Siliguri,26.71611,88.42361,1191.399,1002,TRIBENI,22.98,88.4,416,,,,,,
922,India,Solapur,17.68333,75.91667,1108.185,1249,MORMUGAO,15.42,73.8,338,,,,,,
923,India,Srinagar,34.083658,74.797363,1777.611,204,KARACHI,24.81,66.97,1280,,,,,,
924,India,Surat,21.16667,72.83333,8581.733,420,BHAUNAGAR_I,21.8,72.3,90,0.2721764705882353,0.7110000000000001,2.185705882352941,0.11758823529411766,0.4415,1.892411764705882
925,India,Thanjavur,10.8,79.15,369.14,1072,TUTICORIN,8.75,78.2,251,,,,,,
926,India,Thiruvananthapuram,8.50694,76.95694,3072.532,1072,TUTICORIN,8.75,78.2,139,,,,,,
927,India,Thoothukkudi (Tuticorin),8.809046,78.136911,643.924,1072,TUTICORIN,8.75,78.2,10,0.0713235294117647,0.45799999999999996,1.9972352941176468,0.24402941176470588,0.5715,2.108588235294117
928,India,Thrissur,10.51667,76.21667,3719.976,438,COCHIN,9.97,76.27,61,0.23188235294117646,0.5815,2.108617647058823,0.24088235294117644,0.5685,2.0973823529411764
929,India,Tiruchirappalli,10.805,78.68556,1269.897,1072,TUTICORIN,8.75,78.2,235,,,,,,
930,India,Tirunelveli,8.73333,77.7,616.444,1072,TUTICORIN,8.75,78.2,55,0.0713235294117647,0.45799999999999996,1.9972352941176468,0.24402941176470588,0.5715,2.108588235294117
931,India,Tirupati,13.65,79.41667,797.302,205,CHENNAI,13.1,80.3,114,,,,,,
932,India,Tiruppur,11.11541,77.35456,1783.686,438,COCHIN,9.97,76.27,174,,,,,,
933,India,Tumkur,13.34222,77.10167,399.268,696,MANGALORE,12.85,74.83,252,,,,,,
934,India,Udaipur,24.566108,73.691075,629.951,420,BHAUNAGAR_I,21.8,72.3,339,,,,,,
935,India,Ujjain,23.18333,75.76667,668.371,420,BHAUNAGAR_I,21.8,72.3,388,,,,,,
936,India,Vadodara,22.3,73.2,2424.919,420,BHAUNAGAR_I,21.8,72.3,108,,,,,,
937,India,Varanasi (Benares),25.316426,82.982198,1826.013,1002,TRIBENI,22.98,88.4,609,,,,,,
938,India,Vellore,12.93333,79.13333,625.881,205,CHENNAI,13.1,80.3,128,,,,,,
939,India,Vijayawada,16.51667,80.61667,2350.703,414,VISAKHAPATNAM,17.68,83.28,312,,,,,,
940,India,Visakhapatnam,17.681874,83.209685,2440.423,414,VISAKHAPATNAM,17.68,83.28,7,0.07888235294117646,0.42800000000000005,1.906441176470588,0.18117647058823527,0.5135000000000001,1.9942058823529407
941,India,Warangal,18.0,79.58333,1080.487,414,VISAKHAPATNAM,17.68,83.28,393,,,,,,
942,India,Yamunanagar,30.1,77.28333,495.719,420,BHAUNAGAR_I,21.8,72.3,1050,,,,,,
943,Indonesia,Ambon,-3.69543,128.1814,604.015,935,DARWIN,-12.47,130.85,1020,,,,,,
944,Indonesia,Balikpapan,-1.26753,116.82887,753.877,1734,TAWAU,4.23,117.88,623,,,,,,
945,Indonesia,Bandar Lampung,-5.4254,105.258,1210.199,1351,RAFFLES_LIGHT_HOUSE,1.17,103.75,753,,,,,,
946,Indonesia,Bandung,-6.919393,107.608456,2758.097,1351,RAFFLES_LIGHT_HOUSE,1.17,103.75,997,,,,,,
947,Indonesia,Banjarmasin,-3.32442,114.591,799.706,1833,BINTULU,3.26,113.06,752,,,,,,
948,Indonesia,Batam,1.119078,104.031275,1858.907,1746,TANJONG_PAGAR,1.27,103.85,26,0.12247058823529411,0.544,2.0931764705882347,0.25432352941176467,0.5915,2.1237058823529407
949,Indonesia,Bekasi,-6.23827,106.975573,3926.05,1351,RAFFLES_LIGHT_HOUSE,1.17,103.75,899,,,,,,
950,Indonesia,Bengkulu,-3.800278,102.265278,450.984,1351,RAFFLES_LIGHT_HOUSE,1.17,103.75,577,,,,,,
951,Indonesia,Bogor,-6.606481,106.801891,1281.013,1351,RAFFLES_LIGHT_HOUSE,1.17,103.75,930,,,,,,
