location,lat,lon,gauge_id,gauge_name
566.0,60.56,-145.75,566.0,CORDOVA
567.0,57.73,-152.51,567.0,KODIAK_ISLAND
568.0,28.67,-17.77,568.0,SANTA_CRUZ_DE_LA_PALMA_B
569.0,71.58,128.92,569.0,TIKSI
571.0,-36.68,-73.1,571.0,TALCAHUANO
572.0,10.4,-75.55,572.0,CARTAGENA
575.0,-2.8,-171.72,575.0,KANTON_ISLAND
578.0,-12.97,-38.52,578.0,SALVADOR
580.0,-1.45,-48.5,580.0,BELEM
581.0,8.92,-79.55,581.0,NAOS_ISLAND
593.0,28.97,-13.53,593.0,ARRECIFE
595.0,19.29,166.62,595.0,WAKE_ISLAND
596.0,23.02,70.22,596.0,KANDLA
597.0,37.25,-76.5,597.0,GLOUCESTER_POINT
598.0,16.74,-169.53,598.0,JOHNSTON_ISLAND
599.0,69.75,61.7,599.0,AMDERMA
600.0,69.25,64.52,600.0,UST_KARA
601.0,77.72,104.3,601.0,FEDOROVA
602.0,74.67,138.9,602.0,SANNIKOVA
603.0,73.18,143.23,603.0,SHALAUROVA
604.0,69.62,162.3,604.0,AMBARCHIK
605.0,69.5,166.58,605.0,RAU-CHUA
606.0,69.7,170.25,606.0,PEVEK
607.0,67.83,-175.83,607.0,VANKAREM
608.0,70.98,-178.48,608.0,VRANGELIA
609.0,72.37,52.7,609.0,MALYE_KARMAKULY
610.0,73.0,119.87,610.0,UST_OLENEK
611.0,73.5,80.4,611.0,DIKSON
612.0,75.42,88.9,612.0,STERLEGOVA
613.0,66.97,-171.93,613.0,NETTEN
614.0,39.9,119.6,614.0,QINHUANGDAO
615.0,76.27,94.77,615.0,PRAVDY
616.0,68.9,-179.37,616.0,MYS_SHMIDTA
617.0,65.85,-169.13,617.0,RATMANOVA
618.0,-18.47,-70.33,618.0,ARICA
619.0,-27.07,-70.83,619.0,CALDERA
620.0,78.08,106.82,620.0,MALYI_TAIMYR
621.0,67.48,-174.65,621.0,KOLUCHIN
622.0,69.82,60.75,622.0,UGORSKII_SHAR
627.0,34.47,136.85,627.0,TOBA
634.0,35.35,25.15,634.0,IRAKLION
635.0,36.94,140.89,635.0,ONAHAMA
636.0,37.16,-75.99,636.0,KIPTOPEKE_BEACH
637.0,-19.25,146.83,637.0,TOWNSVILLE_I
638.0,64.15,-21.94,638.0,REYKJAVIK
639.0,1.83,-78.73,639.0,TUMACO
640.0,73.93,124.5,640.0,DUNAI
641.0,76.0,137.87,641.0,KOTELNYI
642.0,73.33,139.87,642.0,KIGILIAH
