gauge_id,gauge_name,gauge_country,gauge_lat,gauge_lon,rsl_low,rsl_central,rsl_high,novlm_low,novlm_central,novlm_high
367,WOODS_HOLE,UNITED STATES,41.52,-70.67,0.36,0.81,2.24,0.23,0.68,2.1
368,ST. GEORGES,BERMUDA,32.37,-64.7,0.22,0.56,1.97,0.16,0.5,1.91
369,GARDEN_REACH,INDIA,22.55,88.3,0.55,0.9,2.32,0.17,0.5,1.93
373,THESSALONIKI,GREECE,40.63,22.93,0.28,0.65,1.94,0.15,0.52,1.8
374,PIRAIEVS,GREECE,37.94,23.63,-0.0,0.37,1.68,0.17,0.54,1.84
375,KAVALLA,GREECE,40.93,24.41,-0.42,-0.04,1.24,0.14,0.51,1.79
376,RAUMA,FINLAND,61.13,21.43,-0.54,-0.08,1.13,0.12,0.58,1.79
377,SANTA_MONICA,UNITED STATES,34.01,-118.5,0.18,0.47,1.97,0.21,0.5,1.99
378,CRESCENT_CITY,UNITED STATES,41.74,-124.18,-0.01,0.3,1.75,0.22,0.53,1.98
379,CONSTANTZA,ROMANIA,44.17,28.67,0.0,0.43,1.7,0.03,0.45,1.72
384,FRIDAY_HARBOR,UNITED STATES,48.55,-123.01,0.11,0.4,1.78,0.17,0.46,1.84
385,NEAH_BAY,UNITED STATES,48.37,-124.61,-0.15,0.14,1.54,0.18,0.47,1.87
386,THEVENARD,AUSTRALIA,-32.15,133.64,0.16,0.49,1.86,0.23,0.54,1.91
392,PORT_AUX_BASQUES,CANADA,47.57,-59.13,0.3,0.79,2.16,0.18,0.66,2.03
393,ST. JOHN'S,CANADA,47.57,-52.72,0.19,0.68,2.06,0.16,0.66,2.03
394,CEBU,PHILIPPINES,10.3,123.92,0.16,0.58,2.13,0.2,0.61,2.17
395,FORT_PULASKI,UNITED STATES,32.03,-80.9,0.44,0.79,2.23,0.28,0.62,2.06
396,WILMINGTON,UNITED STATES,34.23,-77.95,0.36,0.72,2.15,0.26,0.62,2.05
397,SASSNITZ,GERMANY,54.51,13.64,0.12,0.54,1.79,0.18,0.6,1.85
398,KJOLSDAL,NORWAY,61.92,5.63,-0.06,0.42,1.59,0.05,0.53,1.7
399,PORTSMOUTH,UNITED STATES,36.82,-76.29,0.53,0.9,2.32,0.28,0.65,2.06
401,NEVLUNGHAVN,NORWAY,58.97,9.88,-0.14,0.31,1.52,0.12,0.57,1.78
405,JUNEAU,UNITED STATES,58.3,-134.41,-1.27,-0.96,0.36,0.15,0.45,1.78
407,UCHIURA,JAPAN,35.02,138.89,0.08,0.46,2.07,0.25,0.63,2.24
408,KHIOS,GREECE,38.37,26.14,0.28,0.67,1.98,0.16,0.54,1.85
409,POSIDHONIA,GREECE,37.95,22.96,0.1,0.47,1.78,0.17,0.54,1.84
410,PREVEZA,GREECE,38.96,20.76,0.18,0.55,1.85,0.18,0.54,1.84
411,KALAMAI,GREECE,37.02,22.12,0.26,0.63,1.95,0.19,0.54,1.86
412,SOLOMON'S_ISLAND,UNITED STATES,38.32,-76.45,0.49,0.87,2.27,0.28,0.66,2.06
413,OOSTENDE,BELGIUM,51.23,2.92,0.16,0.59,1.87,0.14,0.57,1.84
414,VISAKHAPATNAM,INDIA,17.68,83.28,0.08,0.43,1.91,0.18,0.51,1.99
417,SAUGOR/SAGAR,INDIA,21.65,88.05,-0.27,0.09,1.53,0.18,0.51,1.95
418,GUANTANAMO_BAY,CUBA,19.91,-75.15,0.28,0.65,2.14,0.26,0.6,2.09
420,BHAUNAGAR_I,INDIA,21.8,72.3,0.27,0.71,2.19,0.12,0.44,1.89
425,ANDENES,NORWAY,69.33,16.13,-0.25,0.3,1.41,-0.04,0.51,1.63
426,SITKA,UNITED STATES,57.05,-135.34,-0.22,0.09,1.44,0.16,0.47,1.82
427,CHARLOTTETOWN,CANADA,46.23,-63.12,0.35,0.83,2.23,0.18,0.67,2.06
428,CEDAR_KEY_II,UNITED STATES,29.14,-83.03,0.33,0.67,2.14,0.28,0.62,2.08
429,NEW_LONDON,UNITED STATES,41.36,-72.09,0.35,0.79,2.21,0.24,0.68,2.08
430,PROVIDENCE,UNITED STATES,41.81,-71.4,0.31,0.76,2.17,0.23,0.67,2.08
431,MONTEVIDEO,URUGUAY,-34.9,-56.25,0.17,0.49,1.84,0.22,0.53,1.88
432,DUBLIN,IRELAND,53.35,-6.22,0.1,0.52,1.74,0.12,0.54,1.76
433,COLONIA,URUGUAY,-34.48,-57.85,0.2,0.51,1.85,0.21,0.52,1.86
434,PUNTA_DEL_ESTE,URUGUAY,-34.97,-54.95,0.17,0.49,1.86,0.22,0.53,1.91
435,DOUGLAS,ISLE OF MAN,54.15,-4.47,0.03,0.45,1.66,0.12,0.54,1.75
437,ALAMEDA,UNITED STATES,37.77,-122.3,0.13,0.43,1.91,0.2,0.5,1.99
438,COCHIN,INDIA,9.97,76.27,0.23,0.58,2.11,0.24,0.57,2.1
440,EUGENE_ISLAND,UNITED STATES,29.37,-91.39,1.05,1.4,2.88,0.26,0.6,2.07
444,FORT_PHRACHULA_CHOMKLAO,THAILAND,13.55,100.58,1.33,1.68,3.15,0.23,0.57,2.04
445,YAKUTAT,UNITED STATES,59.55,-139.73,-0.82,-0.5,0.82,0.11,0.43,1.76
446,KO_TAPHAO_NOI,THAILAND,7.83,98.43,0.24,0.6,2.13,0.22,0.58,2.11
447,CHURCHILL,CANADA,58.77,-94.18,-0.87,-0.39,1.03,0.18,0.63,2.04
448,PORT_ADELAIDE,AUSTRALIA,-34.78,138.48,0.26,0.57,1.91,0.23,0.53,1.88
449,KO_SICHANG,THAILAND,13.15,100.82,0.17,0.54,2.03,0.23,0.57,2.06
453,LE_HAVRE,FRANCE,49.48,0.11,0.16,0.58,1.84,0.14,0.56,1.83
454,ST. MALO,FRANCE,48.64,-2.03,0.13,0.53,1.8,0.16,0.55,1.82
455,CALAIS,FRANCE,50.97,1.87,0.14,0.57,1.84,0.15,0.58,1.84
456,BUENAVENTURA,COLOMBIA,3.9,-77.1,0.17,0.51,1.97,0.24,0.56,2.02
457,ST. NAZAIRE,FRANCE,47.27,-2.2,0.15,0.52,1.79,0.18,0.55,1.82
458,MATARANI,PERU,-17.0,-72.12,0.12,0.45,1.86,0.25,0.56,1.97
460,HACHINOHE_I,JAPAN,40.53,141.53,0.23,0.63,2.29,0.21,0.59,2.26
462,RICHMOND,UNITED STATES,37.57,-77.45,0.42,0.8,2.2,0.28,0.65,2.05
463,MIYAKO_I,JAPAN,39.63,141.97,0.33,0.78,2.49,0.18,0.61,2.31
464,PUNTARENAS,COSTA RICA,9.97,-84.83,0.27,0.62,2.13,0.25,0.58,2.09
466,LA_ROCHELLE-LA_PALLICE,FRANCE,46.16,-1.22,0.15,0.52,1.8,0.18,0.55,1.82
467,CHERBOURG,FRANCE,49.65,-1.64,0.12,0.54,1.8,0.15,0.56,1.83
468,DUNKERQUE,FRANCE,51.05,2.37,0.15,0.58,1.85,0.14,0.58,1.84
469,ST_JEAN_DE_LUZ,FRANCE,43.4,-1.68,0.16,0.53,1.82,0.19,0.56,1.85
470,ZEEBRUGGE,BELGIUM,51.35,3.2,0.18,0.62,1.89,0.14,0.57,1.84
471,BOULOGNE,FRANCE,50.73,1.58,0.18,0.61,1.87,0.15,0.58,1.84
474,DIEPPE,FRANCE,49.93,1.08,0.25,0.68,1.95,0.14,0.57,1.83
475,TALARA,PERU,-4.62,-81.28,0.16,0.52,2.01,0.24,0.58,2.07
477,PORT_LOUIS,MAURITIUS,-20.15,57.5,0.18,0.53,2.07,0.24,0.59,2.13
483,VIGO,SPAIN,42.24,-8.73,0.24,0.61,1.92,0.21,0.57,1.88
484,LA_CORUNA_I,SPAIN,43.37,-8.4,0.25,0.63,1.94,0.2,0.57,1.89
485,SANTANDER_I,SPAIN,43.46,-3.79,0.24,0.61,1.92,0.19,0.57,1.87
486,MALOY,NORWAY,61.93,5.11,-0.03,0.46,1.62,0.05,0.53,1.7
487,ADAK  SWEEPER_COVE,UNITED STATES,51.86,-176.63,-0.08,0.25,1.81,0.21,0.53,2.08
488,TARIFA,SPAIN,36.01,-5.6,0.18,0.53,1.86,0.24,0.58,1.91
489,NIEUWPOORT,BELGIUM,51.15,2.73,0.18,0.61,1.88,0.14,0.57,1.84
490,ALGECIRAS,SPAIN,36.12,-5.43,0.12,0.47,1.79,0.24,0.58,1.91
491,MASSACRE_BAY,UNITED STATES,52.83,173.2,0.06,0.49,2.07,0.2,0.51,2.06
495,SKAGWAY,UNITED STATES,59.45,-135.33,-1.71,-1.4,-0.1,0.14,0.44,1.75
496,MALAGA,SPAIN,36.71,-4.42,0.15,0.5,1.81,0.23,0.58,1.89
497,PORT_ISABEL,UNITED STATES,26.06,-97.22,0.47,0.8,2.3,0.26,0.59,2.09
498,CEUTA,SPAIN,35.89,-5.32,0.13,0.48,1.81,0.24,0.58,1.91
499,VALPARAISO,CHILE,-33.03,-71.63,0.03,0.33,1.65,0.24,0.52,1.85
500,WELLINGTON_II,NEW ZEALAND,-41.28,174.78,0.28,0.63,2.05,0.23,0.57,1.99
501,PUERTO_MADRYN,ARGENTINA,-42.77,-65.03,0.2,0.51,1.74,0.2,0.49,1.71
503,ALEXANDRIA,EGYPT,31.22,29.92,0.24,0.62,1.98,0.2,0.56,1.93
508,PORT_SAN_LUIS,UNITED STATES,35.18,-120.76,0.12,0.42,1.92,0.2,0.49,2.0
509,ALESUND,NORWAY,62.47,6.15,-0.1,0.39,1.56,0.03,0.53,1.69
510,ANTOFAGASTA_2,CHILE,-23.65,-70.4,0.05,0.36,1.75,0.25,0.55,1.94
511,ANTOFAGASTA,CHILE,-23.65,-70.42,0.05,0.36,1.75,0.25,0.55,1.94
513,KWAJALEIN,MARSHALL ISLANDS,8.73,167.74,0.27,0.64,2.31,0.27,0.63,2.3
518,KUSHIRO,JAPAN,42.98,144.37,0.86,1.21,2.84,0.23,0.57,2.2
519,MONTAUK,UNITED STATES,41.05,-71.96,0.4,0.84,2.26,0.24,0.68,2.1
520,ST. PETERSBURG,UNITED STATES,27.76,-82.63,0.39,0.73,2.21,0.28,0.62,2.1
521,KAHULUI_HARBOR,UNITED STATES,20.89,-156.48,0.34,0.71,2.42,0.28,0.65,2.35
522,LEGASPI,PHILIPPINES,13.15,123.75,0.35,0.78,2.33,0.19,0.61,2.17
523,MIDWAY_ISLAND,UNITED STATES MINOR OUTLYING ISLANDS,28.21,-177.36,0.27,0.66,2.38,0.29,0.66,2.39
524,VARDO,NORWAY,70.37,31.1,-0.06,0.47,1.62,0.02,0.55,1.7
525,BAR_HARBOR,UNITED STATES,44.39,-68.2,0.29,0.75,2.15,0.21,0.67,2.07
526,GRAND_ISLE,UNITED STATES,29.26,-89.96,0.94,1.29,2.76,0.26,0.6,2.07
527,PORT_ALBERNI,CANADA,49.23,-124.82,-0.08,0.21,1.59,0.15,0.44,1.82
528,CHUUK,"MICRONESIA, FEDERATED STATES OF",7.45,151.85,0.22,0.6,2.25,0.25,0.61,2.26
531,EVENSKJAER,NORWAY,68.58,16.55,-0.34,0.19,1.31,-0.01,0.51,1.63
537,DAVAO,PHILIPPINES,7.08,125.63,0.21,0.6,2.16,0.21,0.6,2.16
538,ROCKPORT,UNITED STATES,28.02,-97.05,0.67,1.0,2.48,0.26,0.59,2.07
539,PAGO_PAGO,AMERICAN SAMOA,-14.28,-170.69,0.35,0.75,2.34,0.23,0.61,2.21
540,APRA_HARBOR,GUAM,13.44,144.65,0.19,0.63,2.23,0.21,0.64,2.24
541,BARENTSBURG,SVALBARD AND JAN MAYEN,78.07,14.25,-1.46,-0.85,0.09,-0.99,-0.39,0.55
542,IMBITUBA,BRAZIL,-28.23,-48.65,0.23,0.59,2.02,0.24,0.56,1.99
543,DIAMOND_HARBOUR,INDIA,22.2,88.17,0.29,0.64,2.06,0.18,0.51,1.94
544,LA_LIBERTAD_II,ECUADOR,-2.2,-80.92,0.15,0.49,1.99,0.24,0.58,2.07
545,KEELUNG_II,"TAIWAN, PROVINCE OF CHINA",25.13,121.73,0.16,0.57,2.14,0.25,0.61,2.16
546,YUZHNO_KURILSK,RUSSIAN FEDERATION,44.02,145.87,0.27,0.65,2.23,0.25,0.56,2.13
547,BARENTSBURG_II,SVALBARD AND JAN MAYEN,78.07,14.25,-1.46,-0.85,0.09,-0.99,-0.39,0.55
549,CAMP_COVE,AUSTRALIA,-33.83,151.28,0.18,0.53,1.98,0.24,0.59,2.04
552,PUERTO_LIMON,COSTA RICA,10.0,-83.03,0.23,0.63,2.16,0.29,0.64,2.16
554,ALERT_BAY,CANADA,50.58,-126.95,-0.16,0.14,1.53,0.15,0.44,1.83
555,LA_LIBERTAD,ECUADOR,-2.2,-80.92,0.15,0.49,1.99,0.24,0.58,2.07
556,RECIFE,BRAZIL,-8.05,-34.87,0.2,0.57,2.06,0.28,0.61,2.1
557,PUERTO_CORTES,HONDURAS,15.83,-87.95,0.57,0.97,2.49,0.28,0.62,2.13
558,LA_UNION,EL SALVADOR,13.33,-87.82,0.23,0.58,2.07,0.24,0.57,2.07
562,BODO,NORWAY,67.29,14.39,-0.37,0.16,1.28,-0.0,0.52,1.64
